"url","id","label","label_it","label_en","label_de","level"
"46432","46.43.2","Commercio all'ingrosso di apparecchiature radiotelevisive","Commercio all'ingrosso di apparecchiature radiotelevisive","Wholesale of radio and television equipment","Großhandel mit Hörfunk- und Fernsehgeräten","5"
"464320","46.43.20","Commercio all'ingrosso di apparecchiature radiotelevisive","Commercio all'ingrosso di apparecchiature radiotelevisive","Wholesale of radio and television equipment","Großhandel mit Hörfunk- und Fernsehgeräten","6"
"46433","46.43.3","Commercio all'ingrosso di altri elettrodomestici","Commercio all'ingrosso di altri elettrodomestici","Wholesale of other electrical household appliances","Großhandel mit sonstigen elektrischen Haushaltsgeräten","5"
"464330","46.43.30","Commercio all'ingrosso di altri elettrodomestici","Commercio all'ingrosso di altri elettrodomestici","Wholesale of other electrical household appliances","Großhandel mit sonstigen elektrischen Haushaltsgeräten","6"
"4644","46.44","Commercio all'ingrosso di articoli di porcellana, di vetro e di prodotti per la pulizia","Commercio all'ingrosso di articoli di porcellana, di vetro e di prodotti per la pulizia","Wholesale of china and glassware and cleaning materials","Großhandel mit keramischen Erzeugnissen, Glaswaren und Reinigungsmitteln","4"
"46441","46.44.1","Commercio all'ingrosso di articoli di porcellana","Commercio all'ingrosso di articoli di porcellana","Wholesale of chinaware","Großhandel mit keramischen Erzeugnissen","5"
"464410","46.44.10","Commercio all'ingrosso di articoli di porcellana","Commercio all'ingrosso di articoli di porcellana","Wholesale of chinaware","Großhandel mit keramischen Erzeugnissen","6"
"46442","46.44.2","Commercio all'ingrosso di articoli di vetro","Commercio all'ingrosso di articoli di vetro","Wholesale of glassware","Großhandel mit Glaswaren","5"
"464420","46.44.20","Commercio all'ingrosso di articoli di vetro","Commercio all'ingrosso di articoli di vetro","Wholesale of glassware","Großhandel mit Glaswaren","6"
"46443","46.44.3","Commercio all'ingrosso di altri utensili per la casa, stoviglie e vasellame","Commercio all'ingrosso di altri utensili per la casa, stoviglie e vasellame","Wholesale of other household utensils, crockery and pottery","Großhandel mit anderen Haushaltsartikeln, Geschirr und Tonwaren","5"
"464430","46.44.30","Commercio all'ingrosso di altri utensili per la casa, stoviglie e vasellame","Commercio all'ingrosso di altri utensili per la casa, stoviglie e vasellame","Wholesale of other household utensils, crockery and pottery","Großhandel mit anderen Haushaltsartikeln, Geschirr und Tonwaren","6"
"46444","46.44.4","Commercio all'ingrosso di prodotti per la pulizia","Commercio all'ingrosso di prodotti per la pulizia","Wholesale of cleaning materials","Großhandel mit Reinigungsmitteln","5"
"464440","46.44.40","Commercio all'ingrosso di prodotti per la pulizia","Commercio all'ingrosso di prodotti per la pulizia","Wholesale of cleaning materials","Großhandel mit Reinigungsmitteln","6"
"4645","46.45","Commercio all'ingrosso di profumi e cosmetici","Commercio all'ingrosso di profumi e cosmetici","Wholesale of perfume and cosmetics","Großhandel mit kosmetischen Erzeugnissen und Körperpflegemitteln","4"
"46450","46.45.0","Commercio all'ingrosso di profumi e cosmetici","Commercio all'ingrosso di profumi e cosmetici","Wholesale of perfume and cosmetics","Großhandel mit kosmetischen Erzeugnissen und Körperpflegemitteln","5"
"464500","46.45.00","Commercio all'ingrosso di profumi e cosmetici","Commercio all'ingrosso di profumi e cosmetici","Wholesale of perfume and cosmetics","Großhandel mit kosmetischen Erzeugnissen und Körperpflegemitteln","6"
"4646","46.46","Commercio all'ingrosso di prodotti farmaceutici e medicali","Commercio all'ingrosso di prodotti farmaceutici e medicali","Wholesale of pharmaceutical and medical goods","Großhandel mit pharmazeutischen Erzeugnissen und medizinischen Hilfsmitteln","4"
"46461","46.46.1","Commercio all'ingrosso di prodotti farmaceutici di base e di preparati farmaceutici","Commercio all'ingrosso di prodotti farmaceutici di base e di preparati farmaceutici","Wholesale of basic pharmaceutical products and pharmaceutical preparations","Großhandel mit pharmazeutischen Grundstoffen und Erzeugnissen","5"
"464610","46.46.10","Commercio all'ingrosso di prodotti farmaceutici di base e di preparati farmaceutici","Commercio all'ingrosso di prodotti farmaceutici di base e di preparati farmaceutici","Wholesale of basic pharmaceutical products and pharmaceutical preparations","Großhandel mit pharmazeutischen Grundstoffen und Erzeugnissen","6"
"46462","46.46.2","Commercio all'ingrosso di rimedi erboristici","Commercio all'ingrosso di rimedi erboristici","Wholesale of herbal remedies","Großhandel mit Kräuterheilmitteln","5"
"464620","46.46.20","Commercio all'ingrosso di rimedi erboristici","Commercio all'ingrosso di rimedi erboristici","Wholesale of herbal remedies","Großhandel mit Kräuterheilmitteln","6"
"46463","46.46.3","Commercio all'ingrosso di prodotti medicali e ortopedici","Commercio all'ingrosso di prodotti medicali e ortopedici","Wholesale of medical and orthopaedic goods","Großhandel mit medizinischen und orthopädischen Erzeugnissen","5"
"464631","46.46.31","Commercio all'ingrosso di occhiali e lenti","Commercio all'ingrosso di occhiali e lenti","Wholesale of glasses, sunglasses and lenses","Großhandel mit Brillen und Linsen","6"
